region,district,value,month,indicator
Bay,Buur Hakaba,0.84,2015-09-01,cdi
Bay,Diinsoor,0.91,2015-09-01,cdi
Bay,Qansax Dheere,0.81,2015-09-01,cdi
Bakool,Xudur,1.0,2015-09-01,cdi
Bakool,Ceel Barde,1.04,2015-09-01,cdi
Bakool,Tayeeglow,1.16,2015-09-01,cdi
Bakool,Waajid,0.74,2015-09-01,cdi
Bakool,Rab Dhuure,0.64,2015-09-01,cdi
Lower Shabelle,Marka,0.75,2015-10-01,cdi
Lower Shabelle,Afgooye,0.8,2015-10-01,cdi
Lower Shabelle,Baraawe,0.54,2015-10-01,cdi
Lower Shabelle,Kurtunwaarey,0.65,2015-10-01,cdi
Lower Shabelle,Qoryooley,0.85,2015-10-01,cdi
Lower Shabelle,Sablaale,0.64,2015-10-01,cdi
Lower Shabelle,Wanla Weyn,1.05,2015-10-01,cdi
Bay,Baydhaba,1.03,2015-10-01,cdi
Bay,Buur Hakaba,0.95,2015-10-01,cdi
Bay,Diinsoor,1.0,2015-10-01,cdi
Bay,Qansax Dheere,1.04,2015-10-01,cdi
Bakool,Xudur,1.1,2015-10-01,cdi
Bakool,Ceel Barde,1.23,2015-10-01,cdi
Bakool,Tayeeglow,1.31,2015-10-01,cdi
Bakool,Waajid,0.9,2015-10-01,cdi
Bakool,Rab Dhuure,0.81,2015-10-01,cdi
Lower Shabelle,Marka,0.91,2015-11-01,cdi
Lower Shabelle,Afgooye,1.05,2015-11-01,cdi
Lower Shabelle,Baraawe,0.75,2015-11-01,cdi
Lower Shabelle,Kurtunwaarey,0.91,2015-11-01,cdi
Lower Shabelle,Qoryooley,1.1,2015-11-01,cdi
Lower Shabelle,Sablaale,0.95,2015-11-01,cdi
Lower Shabelle,Wanla Weyn,1.42,2015-11-01,cdi
Bay,Baydhaba,1.28,2015-11-01,cdi
Bay,Buur Hakaba,1.27,2015-11-01,cdi
Bay,Diinsoor,1.18,2015-11-01,cdi
Bay,Qansax Dheere,1.29,2015-11-01,cdi
Bakool,Xudur,1.52,2015-11-01,cdi
Bakool,Ceel Barde,1.61,2015-11-01,cdi
Bakool,Tayeeglow,1.63,2015-11-01,cdi
Bakool,Waajid,1.17,2015-11-01,cdi
Bakool,Rab Dhuure,1.1,2015-11-01,cdi
Lower Shabelle,Marka,0.84,2015-12-01,cdi
Lower Shabelle,Afgooye,1.12,2015-12-01,cdi
Lower Shabelle,Baraawe,0.85,2015-12-01,cdi
Lower Shabelle,Kurtunwaarey,1.0,2015-12-01,cdi
Lower Shabelle,Qoryooley,1.1,2015-12-01,cdi
Lower Shabelle,Sablaale,1.05,2015-12-01,cdi
Lower Shabelle,Wanla Weyn,1.47,2015-12-01,cdi
Bay,Baydhaba,1.31,2015-12-01,cdi
