,date,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,region,district,district_latitude,district_longitude
63,2024-11-12 21:00:00+00:00,2.25,45.0,31.9825,24.2325,25.5,0.0,7.0,90.0,9.504272,Lower Shabelle,Afgooye,2.2354874,44.9969419
64,2024-11-13 21:00:00+00:00,2.25,45.0,30.432499,24.432499,3.8000002,0.0,8.0,80.0,13.004922,Lower Shabelle,Afgooye,2.2354874,44.9969419
65,2024-11-14 21:00:00+00:00,2.25,45.0,31.582499,24.0325,0.4,0.0,2.0,9.0,17.072504,Lower Shabelle,Afgooye,2.2354874,44.9969419
66,2024-11-15 21:00:00+00:00,2.25,45.0,32.3325,22.7825,0.0,0.0,0.0,0.0,16.29174,Lower Shabelle,Afgooye,2.2354874,44.9969419
67,2024-11-16 21:00:00+00:00,2.25,45.0,32.3325,23.182499,0.9,0.0,6.0,10.0,14.578888,Lower Shabelle,Afgooye,2.2354874,44.9969419
68,2024-11-17 21:00:00+00:00,2.25,45.0,30.332499,24.4825,3.7999997,0.0,14.0,20.0,14.081477,Lower Shabelle,Afgooye,2.2354874,44.9969419
69,2024-11-18 21:00:00+00:00,2.25,45.0,32.1325,24.5325,0.1,0.0,1.0,30.0,15.856354,Lower Shabelle,Afgooye,2.2354874,44.9969419
70,2024-11-12 21:00:00+00:00,1.125,44.0,30.6685,26.268501,0.4,0.0,3.0,68.0,19.09358,Lower Shabelle,Baraawe,1.112777,44.031005
71,2024-11-13 21:00:00+00:00,1.125,44.0,29.5685,26.1185,4.8,0.0,9.0,90.0,12.594856,Lower Shabelle,Baraawe,1.112777,44.031005
72,2024-11-14 21:00:00+00:00,1.125,44.0,29.2185,26.4685,4.7,0.0,7.0,59.0,18.72,Lower Shabelle,Baraawe,1.112777,44.031005
73,2024-11-15 21:00:00+00:00,1.125,44.0,30.4185,26.3685,0.0,0.0,0.0,15.0,18.11841,Lower Shabelle,Baraawe,1.112777,44.031005
74,2024-11-16 21:00:00+00:00,1.125,44.0,30.768501,26.1185,0.3,0.0,3.0,20.0,13.551501,Lower Shabelle,Baraawe,1.112777,44.031005
75,2024-11-17 21:00:00+00:00,1.125,44.0,29.6185,26.6185,3.9,0.0,9.0,35.0,11.659777,Lower Shabelle,Baraawe,1.112777,44.031005
76,2024-11-18 21:00:00+00:00,1.125,44.0,29.518501,25.8685,2.6999996,0.0,9.0,45.0,15.937878,Lower Shabelle,Baraawe,1.112777,44.031005
77,2024-11-12 21:00:00+00:00,1.625,44.125,33.45,24.2,7.4999995,0.0,8.0,95.0,14.84318,Lower Shabelle,Kurtunwaarey,1.65,44.135455
78,2024-11-13 21:00:00+00:00,1.625,44.125,31.4,24.2,6.1999993,0.0,5.0,83.0,14.186923,Lower Shabelle,Kurtunwaarey,1.65,44.135455
79,2024-11-14 21:00:00+00:00,1.625,44.125,31.25,24.25,7.8,0.0,6.0,23.0,14.764389,Lower Shabelle,Kurtunwaarey,1.65,44.135455
80,2024-11-15 21:00:00+00:00,1.625,44.125,32.5,23.7,0.0,0.0,0.0,3.0,14.4,Lower Shabelle,Kurtunwaarey,1.65,44.135455
81,2024-11-16 21:00:00+00:00,1.625,44.125,32.8,23.6,0.3,0.0,3.0,20.0,11.808878,Lower Shabelle,Kurtunwaarey,1.65,44.135455
82,2024-11-17 21:00:00+00:00,1.625,44.125,31.35,24.65,5.1000004,0.0,12.0,22.0,12.261157,Lower Shabelle,Kurtunwaarey,1.65,44.135455
83,2024-11-18 21:00:00+00:00,1.625,44.125,32.2,24.05,2.3999996,0.0,6.0,30.0,15.315873,Lower Shabelle,Kurtunwaarey,1.65,44.135455
84,2024-11-12 21:00:00+00:00,1.75,44.75,30.751,24.701,1.4,0.0,3.0,80.0,16.323528,Lower Shabelle,Marka,1.7148358,44.7699326
85,2024-11-13 21:00:00+00:00,1.75,44.75,29.351,25.701,10.200001,0.0,8.0,83.0,12.313894,Lower Shabelle,Marka,1.7148358,44.7699326
86,2024-11-14 21:00:00+00:00,1.75,44.75,29.501,25.201,2.5,0.0,6.0,24.0,15.716793,Lower Shabelle,Marka,1.7148358,44.7699326
87,2024-11-15 21:00:00+00:00,1.75,44.75,31.751,24.551,0.0,0.0,0.0,10.0,16.199999,Lower Shabelle,Marka,1.7148358,44.7699326
88,2024-11-16 21:00:00+00:00,1.75,44.75,31.001,25.001,0.6,0.0,3.0,23.0,13.608762,Lower Shabelle,Marka,1.7148358,44.7699326
89,2024-11-17 21:00:00+00:00,1.75,44.75,30.001,25.501,4.2,0.0,9.0,31.0,13.979872,Lower Shabelle,Marka,1.7148358,44.7699326
90,2024-11-18 21:00:00+00:00,1.75,44.75,30.201,25.051,2.1000001,0.0,9.0,35.0,16.45007,Lower Shabelle,Marka,1.7148358,44.7699326
91,2024-11-12 21:00:00+00:00,1.75,44.5,32.580498,23.880499,5.4999995,0.0,7.0,80.0,14.982228,Lower Shabelle,Qoryooley,1.789663,44.530629
92,2024-11-13 21:00:00+00:00,1.75,44.5,30.2305,24.380499,11.500001,0.0,9.0,83.0,12.819235,Lower Shabelle,Qoryooley,1.789663,44.530629
93,2024-11-14 21:00:00+00:00,1.75,44.5,30.630499,24.380499,4.7999997,0.0,5.0,24.0,13.479583,Lower Shabelle,Qoryooley,1.789663,44.530629
94,2024-11-15 21:00:00+00:00,1.75,44.5,32.1305,23.6805,0.0,0.0,0.0,10.0,14.57889,Lower Shabelle,Qoryooley,1.789663,44.530629
95,2024-11-16 21:00:00+00:00,1.75,44.5,31.6805,23.780499,0.6,0.0,6.0,23.0,11.525623,Lower Shabelle,Qoryooley,1.789663,44.530629
96,2024-11-17 21:00:00+00:00,1.75,44.5,30.530499,24.5805,4.7999997,0.0,12.0,31.0,12.682018,Lower Shabelle,Qoryooley,1.789663,44.530629
97,2024-11-18 21:00:00+00:00,1.75,44.5,31.2305,23.880499,2.4,0.0,6.0,35.0,14.20062,Lower Shabelle,Qoryooley,1.789663,44.530629
98,2024-11-12 21:00:00+00:00,1.25,43.5,34.6325,24.6325,13.900001,0.0,11.0,78.0,12.031756,Lower Shabelle,Sablaale,1.2423281,43.4794898
99,2024-11-13 21:00:00+00:00,1.25,43.5,31.4825,24.582499,9.4,0.0,8.0,80.0,15.815435,Lower Shabelle,Sablaale,1.2423281,43.4794898
100,2024-11-14 21:00:00+00:00,1.25,43.5,31.582499,24.582499,4.2999997,0.0,5.0,33.0,13.75558,Lower Shabelle,Sablaale,1.2423281,43.4794898
