,date,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation,region,district,district_latitude,district_longitude
68,2024-11-15 17:00:00+00:00,4.75,43.25,26.588999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
69,2024-11-15 18:00:00+00:00,4.75,43.25,25.338999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
70,2024-11-15 19:00:00+00:00,4.75,43.25,24.189,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
71,2024-11-15 20:00:00+00:00,4.75,43.25,23.338999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
72,2024-11-15 21:00:00+00:00,4.75,43.25,22.588999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
73,2024-11-15 22:00:00+00:00,4.75,43.25,21.838999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
74,2024-11-15 23:00:00+00:00,4.75,43.25,21.239,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
75,2024-11-16 00:00:00+00:00,4.75,43.25,20.739,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
76,2024-11-16 01:00:00+00:00,4.75,43.25,19.639,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
77,2024-11-16 02:00:00+00:00,4.75,43.25,18.989,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
78,2024-11-16 03:00:00+00:00,4.75,43.25,20.289,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
79,2024-11-16 04:00:00+00:00,4.75,43.25,21.088999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
80,2024-11-16 05:00:00+00:00,4.75,43.25,23.639,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
81,2024-11-16 06:00:00+00:00,4.75,43.25,26.539,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
82,2024-11-16 07:00:00+00:00,4.75,43.25,28.889,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
83,2024-11-16 08:00:00+00:00,4.75,43.25,30.588999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
84,2024-11-16 09:00:00+00:00,4.75,43.25,31.739,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
85,2024-11-16 10:00:00+00:00,4.75,43.25,32.939003,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
86,2024-11-16 11:00:00+00:00,4.75,43.25,33.589,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
87,2024-11-16 12:00:00+00:00,4.75,43.25,33.739002,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
88,2024-11-16 13:00:00+00:00,4.75,43.25,33.189003,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
89,2024-11-16 14:00:00+00:00,4.75,43.25,32.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
90,2024-11-16 15:00:00+00:00,4.75,43.25,30.838999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
