district,long_term_monthly_mean,month,region,threshold,value,year
Tayeeglow,6.043666666666667,06,Bakool,Normal,7.602,2023
Tayeeglow,35.049708333333335,07,Bakool,Alert,19.756,2023
Tayeeglow,17.609625,08,Bakool,Normal,16.062,2023
Tayeeglow,8.314833333333333,09,Bakool,Normal,7.402,2023
Tayeeglow,92.26169565217391,10,Bakool,Normal,133.908,2023
Tayeeglow,36.712625,11,Bakool,Normal,108.16,2023
Tayeeglow,2.852666666666667,12,Bakool,Normal,7.574,2023
Waajid,0.6355,01,Bakool,Normal,1.239,2023
Waajid,1.0444583333333333,02,Bakool,Normal,0.935,2023
Waajid,24.441541666666666,03,Bakool,Normal,26.812,2023
Waajid,150.52445833333334,04,Bakool,Normal,162.373,2023
Waajid,47.83825,05,Bakool,Alert,35.921,2023
Waajid,6.586,06,Bakool,Alert,5.042,2023
Waajid,11.089666666666666,07,Bakool,Alert,8.009,2023
Waajid,8.334416666666666,08,Bakool,Normal,8.084,2023
Waajid,10.525708333333334,09,Bakool,Alert,7.253,2023
Waajid,145.3894347826087,10,Bakool,Normal,274.314,2023
Waajid,37.55629166666667,11,Bakool,Normal,111.823,2023
Waajid,4.6995,12,Bakool,Alarm,1.362,2023
Xudur,0.4505416666666667,01,Bakool,Normal,0.462,2023
Xudur,0.65,02,Bakool,Normal,0.614,2023
Xudur,12.069416666666667,03,Bakool,Normal,13.311,2023
Xudur,103.61141666666667,04,Bakool,Normal,125.399,2023
Xudur,52.686458333333334,05,Bakool,Alert,33.86,2023
Xudur,2.3320833333333333,06,Bakool,Normal,1.944,2023
Xudur,11.701083333333333,07,Bakool,Alert,7.854,2023
Xudur,9.04975,08,Bakool,Normal,10.782,2023
Xudur,17.363166666666668,09,Bakool,Normal,15.147,2023
Xudur,130.83986956521738,10,Bakool,Normal,222.844,2023
Xudur,20.032833333333333,11,Bakool,Normal,65.055,2023
Xudur,1.418,12,Bakool,Normal,1.748,2023
Baydhaba,1.2360416666666667,01,Bay,Normal,1.98,2023
Baydhaba,1.3214166666666667,02,Bay,Normal,1.084,2023
Baydhaba,25.55816666666667,03,Bay,Normal,27.333,2023
Baydhaba,138.56620833333332,04,Bay,Normal,164.982,2023
Baydhaba,65.44441666666667,05,Bay,Alert,38.092,2023
Baydhaba,11.44025,06,Bay,Normal,10.072,2023
Baydhaba,22.523416666666666,07,Bay,Alert,14.711,2023
Baydhaba,14.981416666666666,08,Bay,Normal,15.082,2023
Baydhaba,7.334208333333334,09,Bay,Alert,5.723,2023
Baydhaba,146.51639130434782,10,Bay,Normal,238.172,2023
Baydhaba,61.451541666666664,11,Bay,Normal,171.897,2023
Baydhaba,8.921541666666666,12,Bay,Alert,5.569,2023
Buur Hakaba,0.9489583333333333,01,Bay,Normal,1.911,2023
Buur Hakaba,1.3125,02,Bay,Normal,1.156,2023
Buur Hakaba,13.893708333333333,03,Bay,Normal,12.833,2023
Buur Hakaba,123.55329166666667,04,Bay,Normal,196.498,2023
Buur Hakaba,84.04983333333334,05,Bay,Alert,41.23,2023
Buur Hakaba,23.096625,06,Bay,Normal,19.019,2023
Buur Hakaba,26.594208333333334,07,Bay,Alert,13.447,2023
Buur Hakaba,15.800666666666666,08,Bay,Alert,11.582,2023
Buur Hakaba,9.624375,09,Bay,Alert,7.647,2023
Buur Hakaba,117.56856521739131,10,Bay,Normal,207.68,2023
Buur Hakaba,63.72708333333333,11,Bay,Normal,166.106,2023
Buur Hakaba,10.383583333333334,12,Bay,Alarm,0.746,2023
